ID,DifficultyID,CategoryRecoveryTime,RecoveryTime,StartRecoveryTime,AuraSpellID,SpellID
2,,7500,,1500,,17
5,,,,1000,,53
6,,300000,,1500,,66
13,,,30000,1500,,99
15,,5000,,1500,,101
17,,,60000,,,111
18,,,60000,,,112
20,,,,1500,,116
21,,,,1500,,118
22,,,25000,1500,,120
23,,,,1500,,122
25,,,,1500,,126
26,,,,1500,,130
29,,,,1500,,133
30,,15000,,,,134
31,,,10000,1500,,136
32,,,,1500,,139
35,,,,1500,,228
40,,,,1500,,339
41,,,,1500,,348
42,,8000,,,,355
43,,,,1500,,370
45,,30000,,1000,,408
53,,60000,,,,436
54,,60000,,,,438
55,,60000,,,,439
56,,60000,,,,440
57,,60000,,,,441
58,,,5000,1500,,453
62,,,45000,1500,,467
64,,,8000,1500,,475
66,,,60000,,,498
67,,,,1500,,512
68,,8000,,1500,,527
69,,,,1500,,528
70,,,,1500,,546
71,,,,1500,,550
73,,600000,,1500,,556
74,,,,1500,,585
78,,,,1500,,589
79,,,,1500,,596
81,,,30000,1500,,603
82,,,,1500,,605
83,,,,1500,,606
84,,,600000,,,633
86,,,300000,1500,,642
88,,,,1500,,686
90,,,,1500,,688
92,,,,1500,,691
95,,,,1500,,697
96,,,120000,1500,,698
97,,,,1500,,700
98,,,,1500,,702
99,,,6000,1000,,703
100,,,,1500,,710
101,,,,1500,,712
103,,180000,,1500,,740
104,,,600000,,,742
105,,,,1500,,746
106,,,,1500,,755
107,,,,1500,,759
108,,,,1500,,768
110,,,,1500,,772
111,,,,1500,,774
114,,,,1500,,783
115,,2000,,,,800
116,,300000,,,,818
117,,,300000,,,823
118,,,300000,,,829
119,,,300000,,,830
120,,,4500,1500,,845
121,,,,1500,,851
122,,45000,,1500,,853
126,,,,1500,,883
127,,360000,,,,932
128,,,,1500,,974
129,,,,1500,,980
130,,,,1500,,982
132,,,1500,1500,,1022
134,,,1500,1500,,1044
135,,6000,600000,,,1050
136,,,,1500,,1064
138,,,,1000,,1079
140,,,,1500,,1090
141,,,,1500,,1098
143,,120000,120000,1500,,1122
144,,,,1500,,1126
147,,,,1000,,1130
152,,,,1500,,1159
153,,,45000,1500,,1160
154,,,120000,,,1161
155,,,,1000,,1329
156,,,,1500,,1449
157,,,,1500,,1454
158,,,,1500,,1459
159,,,,1500,,1462
161,,,,1500,,1464
166,,,,1500,,1513
167,,,,1500,,1515
168,,,60000,,,1516
169,,,,1500,,1528
171,,,20000,1500,,1543
174,,,,1500,,1680
175,,,,1500,,1706
176,,,,1500,,1714
